,Time,Time_raw,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Female,Female,Female,Female,Female,Female,Female,Female,Male_mean,Female_mean
0,5,2015-10-06 19:00:00,0.57,0.78,0.38,0.41,0.59,0.56,0.75,0.69,0.53,0.63,1.7,1.83,2.1,1.84,1.72,1.74,2.28,2.35,1.42,2.04,0.5890000000000001,1.902
1,20,2015-10-21 19:00:00,0.7,0.63,0.79,0.67,0.72,0.62,0.73,0.71,0.79,0.73,2.29,1.55,1.96,1.94,1.92,2.04,2.35,2.07,2.17,2.22,0.709,2.0509999999999997
2,41,2015-11-11 19:00:00,0.75,0.83,0.59,0.68,0.91,0.53,0.56,0.65,0.89,0.74,1.97,2.46,2.38,2.11,2.04,2.06,2.4,2.61,2.65,2.1,0.713,2.278
3,46,2015-11-16 19:00:00,0.67,0.76,0.62,0.76,0.59,0.55,0.51,0.66,0.7,0.6,2.65,2.23,1.87,2.39,2.3,2.59,1.99,2.76,2.81,2.21,0.642,2.38
4,62,2015-12-02 19:00:00,0.52,0.81,0.79,0.65,0.8,0.59,0.78,0.76,0.78,0.79,2.62,2.31,2.31,2.96,2.85,2.72,2.7,2.93,2.8,2.5,0.7270000000000001,2.67
5,85,2015-12-25 19:00:00,0.62,0.61,0.67,0.91,0.51,0.89,0.61,0.57,0.72,0.67,2.34,2.55,2.94,2.47,2.99,2.72,2.6,2.44,2.53,3.02,0.678,2.66
6,97,2016-01-06 19:00:00,0.57,0.89,0.72,0.8,0.68,0.76,0.54,0.65,0.53,0.8,3.21,2.61,2.53,2.39,2.96,3.06,2.57,2.43,2.79,2.71,0.694,2.726
7,116,2016-01-25 19:00:00,0.96,0.93,0.77,0.76,0.77,0.79,0.76,0.86,0.49,0.97,2.46,2.62,2.14,2.72,2.37,2.59,2.89,2.78,2.92,2.78,0.806,2.6270000000000002
8,131,2016-02-09 19:00:00,0.65,0.69,0.77,0.82,0.87,0.45,0.85,1.06,0.54,,2.31,2.79,2.85,2.8,2.74,3.75,2.54,2.39,3.07,3.29,0.7444444444444445,2.853
9,144,2016-02-22 19:00:00,0.71,1.25,1.18,1.05,0.74,1.2,0.96,0.79,0.98,0.73,3.71,3.07,3.77,4.22,3.85,3.12,3.57,3.0,3.71,3.98,0.959,3.6
10,158,2016-03-07 19:00:00,1.01,1.17,1.57,0.86,0.88,1.13,0.79,0.85,1.11,1.01,3.93,5.81,3.45,4.95,4.61,4.48,4.62,4.34,4.22,3.96,1.0379999999999998,4.436999999999999
11,174,2016-03-23 19:00:00,1.09,1.34,0.88,1.07,0.89,1.21,0.94,1.4,1.09,0.89,4.81,4.48,4.09,4.2,4.9,5.99,5.75,4.86,4.22,5.76,1.08,4.906
12,194,2016-04-12 19:00:00,1.11,1.13,1.22,0.92,1.04,1.05,1.27,0.86,1.43,0.99,7.02,9.16,7.46,6.7,8.51,6.13,6.19,6.12,8.21,5.62,1.102,7.112
13,208,2016-04-26 19:00:00,1.01,0.96,1.11,1.09,1.11,0.83,1.02,0.91,1.1,0.91,9.46,9.05,9.15,13.62,11.55,11.64,9.65,12.28,9.21,11.15,1.005,10.676000000000002
14,224,2016-05-12 19:00:00,0.98,0.76,0.72,1.14,1.36,0.79,0.74,0.9,1.15,0.86,6.06,6.36,5.98,8.34,13.37,11.3,6.67,11.66,5.98,4.43,0.9400000000000001,8.015
15,236,2016-05-24 19:00:00,0.96,1.66,1.21,1.11,0.92,1.02,1.06,0.72,1.0,0.83,9.77,9.33,10.23,12.35,11.07,11.07,10.59,9.1,8.75,11.37,1.049,10.363
