Gene ID,Symbol,Alpha,Phi,RS,Description
101169125,tfap2e,0.592362114,0.856541025,0.576668267,"transcription factor AP-2 epsilon (tfap2e), transcript variant X2, mRNA;transcription factor AP-2 epsilon (tfap2e), transcript variant X1, mRNA"
105356367,LOC105356367,0.764503901,1.277955193,0.316036587,"diacylglycerol kinase beta (LOC105356367), mRNA"
111948357,LOC111948357,3.990853324,1.810016512,0.372845883,"nestin-like (LOC111948357), mRNA"
101163274,kcnq3,0.642934497,1.839017706,0.595911014,"potassium voltage-gated channel subfamily Q member 3 (kcnq3), mRNA"
101173922,LOC101173922,0.889244248,3.005188571,0.309934959,"uncharacterized LOC101173922 (LOC101173922), mRNA"
BGI_novel_G000764,NA,1.401148851,3.05157549,0.300249183,NA
101174284,LOC101174284,0.80787962,3.258592986,0.559554904,"protocadherin Fat 3 (LOC101174284), transcript variant X4, mRNA;protocadherin Fat 3 (LOC101174284), transcript variant X2, mRNA;protocadherin Fat 3 (LOC101174284), transcript variant X1, mRNA;protocadherin Fat 3 (LOC101174284), transcript variant X3, mRNA"
101171107,LOC101171107,1.042134995,4.540351188,0.436252586,"tyrosine-protein kinase STYK1 (LOC101171107), transcript variant X2, mRNA;tyrosine-protein kinase STYK1 (LOC101171107), transcript variant X1, mRNA"
101171180,LOC101171180,0.585927795,5.325665196,0.326643134,"FH1/FH2 domain-containing protein 3 (LOC101171180), transcript variant X4, mRNA;FH1/FH2 domain-containing protein 3 (LOC101171180), transcript variant X3, mRNA;FH1/FH2 domain-containing protein 3 (LOC101171180), transcript variant X2, mRNA;FH1/FH2 domain-containing protein 3 (LOC101171180), transcript variant X1, mRNA;FH1/FH2 domain-containing protein 3 (LOC101171180), transcript variant X6, mRNA;FH1/FH2 domain-containing protein 3 (LOC101171180), transcript variant X5, mRNA"
101173859,LOC101173859,1.730952392,5.925362152,0.379062522,"uncharacterized oxidoreductase YjmC (LOC101173859), transcript variant X2, mRNA;uncharacterized oxidoreductase YjmC (LOC101173859), transcript variant X1, mRNA"
101171449,LOC101171449,1.502863767,6.37576249,0.403791566,"retinal-specific ATP-binding cassette transporter (LOC101171449), transcript variant X3, mRNA;retinal-specific ATP-binding cassette transporter (LOC101171449), transcript variant X1, mRNA;retinal-specific ATP-binding cassette transporter (LOC101171449), transcript variant X2, mRNA"
101160457,LOC101160457,0.717281878,6.390521767,0.370068749,"protein phosphatase 1 regulatory subunit 29-like (LOC101160457), mRNA"
105357264,LOC105357264,1.260068894,7.48626088,0.316779263,"serine/threonine-protein kinase pim-1-like (LOC105357264), transcript variant X1, mRNA;serine/threonine-protein kinase pim-1-like (LOC105357264), transcript variant X2, mRNA"
101167753,g2e3,0.590944282,7.871986977,0.301340163,"G2/M-phase specific E3 ubiquitin protein ligase (g2e3), transcript variant X1, mRNA;G2/M-phase specific E3 ubiquitin protein ligase (g2e3), transcript variant X2, mRNA"
101161227,zfhx3,0.581431237,8.850903324,0.588313404,"zinc finger homeobox 3 (zfhx3), mRNA"
